,Movies,Year,Runtime,Imdb rating,Metascores,Votes,Gross (in millions)
985,Veer-Zaara,2004,192,7.8,67,47798,2.92
986,White Heat,1949,114,8.1,0,28873,
987,La Grande Illusion,1937,113,8.1,0,33125,0.17
988,Jab We Met,2007,138,7.9,0,46294,0.41
989,Adam's Apples,2005,94,7.8,51,44394,0.0
990,Joyeux Noel,2005,116,7.7,70,27096,1.05
991,Vicky Donor,2012,126,7.8,0,38727,0.17
992,English Vinglish,2012,134,7.8,0,32685,1.67
993,The Edge of Heaven,2007,122,7.8,85,30281,0.74
994,C.R.A.Z.Y.,2005,127,7.9,81,31159,
995,Le Dîner de Cons,1998,80,7.7,73,36535,4.07
996,"Carry On, Munna Bhai",2006,144,8.1,0,41855,2.22
997,And Now for Something Completely Different,1971,88,7.6,0,28383,
998,The Breath,2009,128,8.0,0,31172,
999,Vizontele,2001,110,8.0,0,32182,
