,Movies,Year,Runtime,Imdb rating,Metascores,Votes,Gross (in millions)
274,Tangled,2010,100,7.7,71,395224,200.82
275,The Curious Case of Benjamin Button,2008,166,7.8,70,574516,127.51
276,Captain America: The Winter Soldier,2014,136,7.7,70,717467,259.77
277,Dances with Wolves,1990,181,8.0,72,234614,184.21
278,Capernaum,2018,126,8.4,75,52390,1.66
279,Rain Man,1988,133,8.0,65,464196,178.8
280,Princess Mononoke,1997,134,8.4,76,329550,2.38
281,Finding Nemo,2003,100,8.1,90,925909,380.84
282,Sherlock Holmes,2009,128,7.6,57,573204,209.03
283,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,926069,309.13
284,Remember the Titans,2000,113,7.8,48,193918,115.65
285,Wind River,2017,107,7.7,73,194652,33.8
286,Dead Poets Society,1989,128,8.1,79,409775,95.86
287,City of God,2002,130,8.6,79,684564,7.56
288,Hell or High Water,2016,102,7.6,88,197436,26.86
289,Training Day,2001,122,7.7,69,380523,76.63
290,Toy Story,1995,81,8.3,95,862327,191.8
291,Argo,2012,120,7.7,86,562202,136.03
292,Serenity,2005,119,7.8,74,279503,25.51
293,Mississippi Burning,1988,128,7.8,65,85447,34.6
294,The Hobbit: The Desolation of Smaug,2013,161,7.8,66,589877,258.37
295,Million Dollar Baby,2004,132,8.1,86,621880,100.49
296,L.A. Confidential,1997,138,8.2,90,520498,64.62
297,True Grit,2010,110,7.6,80,304209,171.24
298,Trainspotting,1996,93,8.1,83,622285,16.5
299,The Blind Side,2009,129,7.6,53,285310,255.96
300,Crash,2004,112,7.7,66,414663,54.58
301,Captain Fantastic,2016,118,7.9,72,181303,5.88
302,Despicable Me,2010,95,7.6,72,490364,251.51
303,"Synecdoche, New York",2008,124,7.6,67,79320,3.08
304,Mary Poppins,1964,139,7.8,88,154021,102.27
305,Indiana Jones and the Temple of Doom,1984,118,7.6,57,436952,179.87
306,Rocky,1976,120,8.1,70,505123,117.24
307,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76,147979,78.76
308,"Monsters, Inc.",2001,92,8.0,79,793200,289.92
309,The Bourne Identity,2002,119,7.9,68,498131,121.66
310,Up,2009,96,8.2,88,909205,293.0
311,Amadeus,1984,160,8.3,88,360181,51.97
312,Willy Wonka & the Chocolate Factory,1971,100,7.8,67,173566,4.0
313,The Hunt,2012,115,8.3,77,268504,0.69
314,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66,523309,3.9
315,Donnie Brasco,1997,127,7.7,76,271108,41.91
316,Close Encounters of the Third Kind,1977,138,7.6,90,179882,132.09
317,What's Eating Gilbert Grape,1993,118,7.8,73,209823,9.17
318,Mystic River,2003,138,7.9,84,410525,90.14
319,Saw,2004,103,7.6,46,371256,56.0
320,Halloween,1978,91,7.8,87,221852,47.0
321,Little Miss Sunshine,2006,101,7.8,80,431089,59.89
322,Mad Max 2: The Road Warrior,1981,96,7.6,77,163156,12.47
323,3 Idiots,2009,170,8.4,67,330944,6.53
324,Black Hawk Down,2001,144,7.7,74,357538,108.64
325,Shrek,2001,90,7.8,84,598869,267.67
326,The Florida Project,2017,111,7.6,92,89251,5.9
327,Incendies,2010,131,8.3,80,141741,6.86
328,Zombieland,2009,88,7.6,73,509597,75.59
329,Rear Window,1954,112,8.4,100,431091,36.76
330,Shaun of the Dead,2004,99,7.9,76,501304,13.54
331,Y Tu Mamá También,2001,106,7.6,88,113456,13.62
332,Lawrence of Arabia,1962,228,8.3,100,260833,44.82
333,Dog Day Afternoon,1975,125,8.0,86,230271,50.0
334,Taken,2008,90,7.8,51,557249,145.0
335,Slumdog Millionaire,2008,120,8.0,84,785147,141.32
336,Goldfinger,1964,110,7.7,87,168426,51.08
337,Gravity,2013,91,7.7,96,754120,274.09
338,Man on Fire,2004,146,7.7,47,323239,77.91
339,Star Trek Into Darkness,2013,132,7.7,72,458060,228.78
340,The Untouchables,1987,119,7.9,79,272220,76.27
341,WALL·E,2008,98,8.4,95,972434,223.81
342,The King's Speech,2010,118,8.0,88,627122,138.8
343,Manchester by the Sea,2016,137,7.8,96,237619,47.7
344,Chinatown,1974,130,8.2,92,285911,29.2
345,Dallas Buyers Club,2013,117,8.0,80,429080,27.3
346,The Others,2001,104,7.6,74,329977,96.52
347,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,440119,0.28
348,Kick-Ass,2010,117,7.6,66,517022,48.07
349,Double Indemnity,1944,107,8.3,95,139130,5.72
350,Downfall,2004,156,8.2,82,323942,5.51
351,Carlito's Way,1993,144,7.9,65,196080,36.95
352,500 Days of Summer,2009,95,7.7,76,463532,32.39
353,28 Days Later...,2002,113,7.6,73,368774,45.06
354,Fantastic Mr. Fox,2009,87,7.9,83,192413,21.0
355,The Lives of Others,2006,137,8.4,89,348642,11.29
356,Monty Python and the Holy Grail,1975,91,8.2,93,490629,1.23
357,Life of Pi,2012,127,7.9,79,569228,124.99
358,This Is Spinal Tap,1984,82,7.9,92,126411,0.19
359,My Cousin Vinny,1992,120,7.6,68,103632,52.93
360,Gone Baby Gone,2007,114,7.6,72,245111,20.3
361,The Game,1997,129,7.8,61,335779,48.32
362,Boyz n the Hood,1991,112,7.7,76,121325,57.5
363,The Graduate,1967,106,8.0,83,249460,104.95
364,Misery,1990,107,7.8,75,178737,61.28
365,The Little Mermaid,1989,83,7.6,88,231089,111.54
366,The Butterfly Effect,2004,113,7.6,30,443499,57.94
367,The Last of the Mohicans,1992,112,7.7,76,145328,75.51
368,Lion,2016,118,8.0,69,205912,51.74
369,Aladdin,1992,90,8.0,86,363072,217.35
370,Citizen Kane,1941,119,8.3,100,388303,1.59
371,Blue Velvet,1986,120,7.8,76,175921,8.55
372,Big Hero 6,2014,102,7.8,74,399971,222.53
373,Who Framed Roger Rabbit,1988,104,7.7,83,178107,156.45
374,Beauty and the Beast,1991,84,8.0,95,409881,218.97
375,Papillon,1973,151,8.0,58,119081,53.27
376,Moon,2009,97,7.9,67,329142,5.01
377,Office Space,1999,89,7.7,68,237298,10.82
378,It's a Wonderful Life,1946,130,8.6,89,387339,
379,Only the Brave,2017,134,7.6,72,54702,18.34
380,The Birds,1963,119,7.7,90,166816,11.4
381,The Hurt Locker,2008,131,7.6,95,413439,17.02
382,First Blood,1982,93,7.7,61,221000,47.21
383,For a Few Dollars More,1965,132,8.3,74,225193,15.0
384,Before Sunset,2004,80,8.0,90,227941,5.82
385,Kill Bill: Vol. 2,2004,137,8.0,83,666678,66.21
386,Wild Tales,2014,122,8.1,77,169678,3.11
387,Dirty Harry,1971,102,7.7,90,140316,35.9
388,The Warriors,1979,92,7.6,65,91594,22.49
389,Boyhood,2014,165,7.9,100,330250,25.38
390,Dangal,2016,161,8.4,0,146864,12.39
391,Blazing Saddles,1974,93,7.7,73,123136,119.5
392,The Machinist,2004,101,7.7,61,350145,1.08
393,Ip Man,2008,106,8.0,59,207605,
394,Sleepers,1996,147,7.6,49,183554,49.1
395,Bridge of Spies,2015,142,7.6,81,280562,72.31
396,Fear and Loathing in Las Vegas,1998,118,7.6,41,254284,10.68
397,Stalker,1979,162,8.2,0,111439,0.23
398,Dark City,1998,100,7.6,66,184873,14.38
399,How to Train Your Dragon,2010,98,8.1,75,650037,217.58
